iter	Passed	Remaining
795	1636	419
796	1639	417
797	1642	415
798	1644	413
799	1645	411
800	1646	409
801	1648	406
802	1650	404
803	1651	402
804	1654	400
805	1657	398
806	1658	396
807	1660	394
808	1661	392
809	1663	390
810	1664	387
811	1666	385
812	1670	384
813	1671	382
814	1673	379
815	1674	377
816	1675	375
817	1676	373
818	1677	370
819	1679	368
820	1681	366
821	1685	365
822	1687	362
823	1688	360
824	1689	358
825	1690	356
826	1692	354
827	1693	351
828	1695	349
829	1698	347
830	1700	345
831	1701	343
832	1702	341
833	1703	339
834	1704	336
835	1706	334
836	1707	332
837	1709	330
838	1711	328
839	1714	326
840	1715	324
841	1716	322
842	1718	319
843	1719	317
844	1720	315
845	1721	313
846	1723	311
847	1724	309
848	1729	307
849	1730	305
850	1731	303
851	1732	301
852	1734	298
853	1735	296
854	1736	294
855	1738	292
856	1739	290
857	1743	288
858	1744	286
859	1745	284
860	1746	281
861	1747	279
862	1749	277
863	1750	275
864	1751	273
865	1752	271
866	1753	269
867	1754	266
868	1758	265
869	1759	262
870	1760	260
871	1761	258
872	1763	256
873	1764	254
874	1765	252
875	1766	250
876	1768	247
877	1769	245
878	1771	243
879	1774	241
880	1775	239
881	1776	237
882	1778	235
883	1779	233
884	1780	231
885	1782	229
886	1783	227
887	1784	225
888	1788	223
889	1789	221
890	1790	219
891	1791	216
892	1793	214
893	1794	212
894	1795	210
895	1796	208
896	1797	206
897	1800	204
898	1802	202
899	1803	200
900	1804	198
901	1805	196
902	1807	194
903	1808	192
904	1809	189
905	1810	187
906	1811	185
907	1812	183
908	1815	181
909	1818	179
910	1820	177
911	1821	175
912	1822	173
913	1823	171
914	1824	169
915	1825	167
916	1827	165
917	1829	163
918	1833	161
919	1834	159
920	1835	157
921	1836	155
922	1838	153
923	1839	151
924	1840	149
925	1841	147
926	1842	145
927	1845	143
928	1848	141
929	1849	139
930	1850	137
931	1851	135
932	1853	133
933	1854	131
934	1855	128
935	1856	126
936	1858	124
937	1861	123
938	1863	121
939	1864	119
940	1865	116
941	1866	114
942	1867	112
943	1868	110
944	1869	108
945	1870	106
946	1872	104
947	1875	102
948	1876	100
949	1877	98
950	1879	96
951	1880	94
952	1881	92
953	1882	90
954	1883	88
955	1884	86
956	1886	84
957	1888	82
